ProlificID,NativeLang,OtherLangs,TaskDesc,trial,trans,foil,answer,ReactionTime,form,identifier,result
59646f5198cf77000106feb1,English,NA,Translating another language,1,WOBBLING,http://honestcookingblog.com/soundfiles/boNyari.mp3,B,4504,yoroyoro,yoroyoro_WOBBLING,incorrect
59646f5198cf77000106feb1,English,NA,Translating another language,2,FLUFFY,http://honestcookingblog.com/soundfiles/yakiyaki.mp3,B,1558,fuwafuwa,fuwafuwa_SOFT,correct
59646f5198cf77000106feb1,English,NA,Translating another language,3,LOUD,http://honestcookingblog.com/soundfiles/fuwafuwa.mp3,A,1750,yakamasyii,yakamasyii_NOISY,correct
59646f5198cf77000106feb1,English,NA,Translating another language,4,HUGE,http://honestcookingblog.com/soundfiles/geNki.mp3,B,1236,ookii,ookii_BIG,correct
59646f5198cf77000106feb1,English,NA,Translating another language,5,SLIMY,http://honestcookingblog.com/soundfiles/zoNzoN.mp3,A,2908,nurunuru,nurunuru_SLIMY,correct
59646f5198cf77000106feb1,English,NA,Translating another language,6,BLURRY,http://honestcookingblog.com/soundfiles/yakamasyii.mp3,A,1087,boNyari,boNyari_FUZZY,incorrect
59646f5198cf77000106feb1,English,NA,Translating another language,7,FULL (TO THE BRIM),http://honestcookingblog.com/soundfiles/katai.mp3,B,1306,iQpai,iQpai_FULL (TO THE BRIM),incorrect
59646f5198cf77000106feb1,English,NA,Translating another language,8,RIP,http://honestcookingblog.com/soundfiles/semai.mp3,A,1310,saku,saku_TEAR,incorrect
59646f5198cf77000106feb1,English,NA,Translating another language,9,RINGING (E.G. A RINGING SOUND IN YOUR EARS),http://honestcookingblog.com/soundfiles/motyokoi.mp3,B,1258,kiiN,kiiN_RINGING,incorrect
59646f5198cf77000106feb1,English,NA,Translating another language,10,TIGHT,http://honestcookingblog.com/soundfiles/yagurasyika.mp3,B,1219,kyuukutsuka,kyuukutsuka_TIGHT,correct
59646f5198cf77000106feb1,English,NA,Translating another language,11,COARSE,http://honestcookingblog.com/soundfiles/saku.mp3,B,1305,zarazara,zarazara_ROUGH,incorrect
59646f5198cf77000106feb1,English,NA,Translating another language,12,STICKY,http://honestcookingblog.com/soundfiles/zuruNzuruN.mp3,B,1044,nebaneba,nebaneba_STICKY,correct
