ProlificID,Native,Otherlangs,Taskdesc,experiment,trial,trans,foil,response,rt,form,identifier,grade
123,english,none,guessing stuff,1,1,FLUFFY,http://honestcookingblog.com/soundfiles//rizyu.mp3,A,1995,fuwafuwa,fuwafuwa_FLUFFY,correct
123,english,none,guessing stuff,1,2,WOBBLING,http://honestcookingblog.com/soundfiles//tyekye.mp3,B,2015,yoroyoro,yoroyoro_WOBBLING,correct
123,english,none,guessing stuff,1,3,SLY,http://honestcookingblog.com/soundfiles//yaQkaa.mp3,A,1990,zurui,zurui_CUNNING,correct
123,english,none,guessing stuff,1,4,(SPINE) TINGLING,http://honestcookingblog.com/soundfiles//weni.mp3,B,925,zokuzoku,zokuzoku_(SPINE) TINGLING,correct
123,english,none,guessing stuff,1,5,GRITTY,http://honestcookingblog.com/soundfiles//ruQka.mp3,A,5688,zyarizyari,zyarizyari_ROUGH,correct
123,english,none,guessing stuff,1,6,SLUGGISH,http://honestcookingblog.com/soundfiles//wuQru.mp3,A,5589,naNgii,naNgii_SLUGGISH,incorrect
123,english,none,guessing stuff,1,7,SLOSHING,http://honestcookingblog.com/soundfiles//wuya.mp3,B,11671,taputapu,taputapu_SLOSHING,incorrect
123,english,none,guessing stuff,1,8,NOISY,http://honestcookingblog.com/soundfiles//ena.mp3,B,2070,ookii,ookii_LOUD,correct
123,english,none,guessing stuff,1,9,HARD,http://honestcookingblog.com/soundfiles//nuwa.mp3,A,2502,katyikatyi,katyikatyi_HARD,correct
123,english,none,guessing stuff,1,10,LONG,http://honestcookingblog.com/soundfiles//pyuwia.mp3,B,3104,nagai,nagai_LONG,correct
123,english,none,guessing stuff,1,11,QUIET,http://honestcookingblog.com/soundfiles//wuQ.mp3,A,7285,syiiN,syiiN_QUIET,correct
123,english,none,guessing stuff,1,12,SOUR,http://honestcookingblog.com/soundfiles//yaraa.mp3,B,4273,syibui,syibui_SOUR,correct
123,english,none,guessing stuff,1,13,ACRID,http://honestcookingblog.com/soundfiles//pyuhia.mp3,A,3214,nigai,nigai_BITTER,correct
123,english,none,guessing stuff,1,14,A LITTLE,http://honestcookingblog.com/soundfiles//reye.mp3,B,12054,tyoQto,tyoQto_A LITTLE,correct
123,english,none,guessing stuff,1,15,SEEPING OUT (E.G. LIQUID),http://honestcookingblog.com/soundfiles//riyi.mp3,A,3768,guzyuguzyu,guzyuguzyu_OOZING,correct
123,english,none,guessing stuff,1,16,TIGHT,http://honestcookingblog.com/soundfiles//yuwe.mp3,B,4202,tyiisoo,tyiisoo_TIGHT,correct
123,english,none,guessing stuff,1,17,EXHAUSTED,http://honestcookingblog.com/soundfiles//yuQwe.mp3,B,2498,syiNdo,syiNdo_EXHAUSTED,incorrect
123,english,none,guessing stuff,1,18,THIN,http://honestcookingblog.com/soundfiles//wehuru.mp3,B,1019,komaka,komaka_THIN,correct
123,english,none,guessing stuff,1,19,TREMBLING,http://honestcookingblog.com/soundfiles//ruwi.mp3,A,2030,gatagata,gatagata_SHAKING,correct
123,english,none,guessing stuff,1,20,ROUGH,http://honestcookingblog.com/soundfiles//eru.mp3,B,821,ookii,ookii_ROUGH,correct
123,english,none,guessing stuff,1,21,ANNOYED,http://honestcookingblog.com/soundfiles//akyiruweyua.mp3,A,6683,iratyimonai,iratyimonai_ANNOYED,correct
123,english,none,guessing stuff,1,22,EXHAUSTED,http://honestcookingblog.com/soundfiles//neQdia.mp3,A,909,kowai,kowai_EXHAUSTED,incorrect
123,english,none,guessing stuff,1,23,CLEAN,http://honestcookingblog.com/soundfiles//hurepya.mp3,B,1337,migotsu,migotsu_CLEAN,incorrect
123,english,none,guessing stuff,1,24,GLUM,http://honestcookingblog.com/soundfiles//wipyupyu.mp3,B,6961,gurasyi,gurasyi_SAD,correct
123,english,none,guessing stuff,1,25,GLAD,http://honestcookingblog.com/soundfiles//akyopyu.mp3,A,5634,uresyii,uresyii_GLAD,correct
123,english,none,guessing stuff,1,26,GRITTY,http://honestcookingblog.com/soundfiles//uQkiu.mp3,B,5287,arai,arai_ROUGH,correct
123,english,none,guessing stuff,1,27,SLOW,http://honestcookingblog.com/soundfiles//heQrayiu.mp3,A,3556,doNkusai,doNkusai_SLOW,correct
123,english,none,guessing stuff,1,28,NOISY,http://honestcookingblog.com/soundfiles//wowikiyuwi.mp3,B,2012,sekarasyika,sekarasyika_LOUD,correct
123,english,none,guessing stuff,1,29,KNOCK (AT THE DOOR),http://honestcookingblog.com/soundfiles//ruhira.mp3,A,5052,hadagu,hadagu_RAP (AT THE DOOR),correct
123,english,none,guessing stuff,1,30,SMOKY,http://honestcookingblog.com/soundfiles//nowiyiu.mp3,B,2431,kebutai,kebutai_SMOKY,correct
