prolificID,nativelang,otherlangs,taskdesc,experiment,trial,trans,rating,rt,form,identifier
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,1,WOBBLING,5,4250,yoroyoro,yoroyoro_WOBBLING
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,2,FLUFFY,2,1704,fuwafuwa,fuwafuwa_FLUFFY
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,3,WATERY (EYES),2,3115,syobosyobo,syobosyobo_WATERY (EYES)
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,4,ENERGETIC,5,2980,syaNsyaN,syaNsyaN_LIVELY
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,5,WEARY,2,2415,kaQtarii,kaQtarii_EXHAUSTED
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,6,PULSATING,3,990,hirihiri,hirihiri_THROBBING
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,7,CLEAN,6,2162,kiree,kiree_CLEAN
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,8,STUFFED (FROM EATING TOO MUCH),5,2402,kutyii,kutyii_STUFFED (FULL OF FOOD)
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,9,SUNNY,5,1483,akarui,akarui_BRIGHT
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,10,SHAKING,4,2210,uzyauzya,uzyauzya_SHAKING
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,11,IMPATIENT,2,2367,yakiyaki,yakiyaki_ANNOYED/IMPATIENT
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,12,TICKLING,1,1463,motyokoi,motyokoi_TICKLING
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,13,GOOEY,3,1593,nebaneba,nebaneba_STICKY
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,14,RINGING (E.G. A RINGING SOUND IN YOUR EARS),4,1785,tsuuN,tsuuN_RINGING
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,15,TIGHT,4,2518,kyuukutsuka,kyuukutsuka_TIGHT
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,16,COOL,3,1845,suzusyii,suzusyii_COOL
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,17,SHIVERS (DOWN YOUR SPINE),5,1379,zawazawa,zawazawa_SHIVERING
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,18,DAMP,3,2233,syiQpori,syiQpori_WET
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,19,SLICK,1,1477,nurunuru,nurunuru_SLIMY
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,20,SLIMY,1,1203,zuruNzuruN,zuruNzuruN_SLIMY
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,21,ROUGH,2,1341,zarazara,zarazara_ROUGH
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,22,MASSIVE,1,1470,igai,igai_BIG
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,23,DRY,3,1903,koragu,koragu_DRY
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,24,CUNNING,2,1351,kosui,kosui_CUNNING
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,25,ITCHING,5,2050,hasyikai,hasyikai_ITCHING
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,26,COLD,5,2144,sabui,sabui_COLD (WEATHER)
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,27,GLUM,1,1110,tsurai,tsurai_SAD
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,28,TIRED,5,1778,erai,erai_EXHAUSTED
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,29,HARD,1,1564,kowai,kowai_HARD
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,30,COARSE,6,1860,deQkai,deQkai_ROUGH
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,31,LETHARGIC,3,2119,koe,koe_SLUGGISH
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,32,HARD,2,1201,katai,katai_HARD
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,33,BOUNCING,5,1406,pyoNpyoN,pyoNpyoN_BOUNCING
5ff62f06932d5619964856a8,English,NA,Hearing Japanese words and saying the resemblance,1,34,WHISPERING,6,1648,hisohiso,hisohiso_WHISPERING
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,1,WOBBLING,6,1995,yoroyoro,yoroyoro_WOBBLING
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,2,FLUFFY,0,1790,fuwafuwa,fuwafuwa_FLUFFY
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,3,WATERY (EYES),1,805,syobosyobo,syobosyobo_WATERY (EYES)
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,4,LIVELY,0,2479,syaNsyaN,syaNsyaN_LIVELY
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,5,TIRED,2,1229,kaQtarii,kaQtarii_EXHAUSTED
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,6,THROBBING,3,1198,hirihiri,hirihiri_THROBBING
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,7,CLEAN,6,879,kiree,kiree_CLEAN
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,8,STUFFED (FROM EATING TOO MUCH),4,1371,kutyii,kutyii_STUFFED (FULL OF FOOD)
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,9,SUNNY,1,802,akarui,akarui_BRIGHT
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,10,SHAKING,4,777,uzyauzya,uzyauzya_SHAKING
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,11,IMPATIENT,5,1273,yakiyaki,yakiyaki_ANNOYED/IMPATIENT
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,12,TICKLING,3,1078,motyokoi,motyokoi_TICKLING
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,13,STICKY,1,2152,nebaneba,nebaneba_STICKY
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,14,RINGING (E.G. A RINGING SOUND IN YOUR EARS),6,1822,tsuuN,tsuuN_RINGING
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,15,TIGHT,0,1222,kyuukutsuka,kyuukutsuka_TIGHT
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,16,FRESH,0,1309,suzusyii,suzusyii_COOL
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,17,(SPINE) TINGLING,1,589,zawazawa,zawazawa_SHIVERING
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,18,DAMP,0,937,syiQpori,syiQpori_WET
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,19,SLIPPERY,4,3041,nurunuru,nurunuru_SLIMY
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,20,SLIMY,0,725,zuruNzuruN,zuruNzuruN_SLIMY
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,21,GRITTY,0,895,zarazara,zarazara_ROUGH
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,22,LARGE,2,1487,igai,igai_BIG
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,23,DRY,4,2450,koragu,koragu_DRY
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,24,SLY,6,1181,kosui,kosui_CUNNING
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,25,PRICKLING,0,1229,hasyikai,hasyikai_ITCHING
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,26,CHILLY,4,1017,sabui,sabui_COLD (WEATHER)
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,27,SAD,2,1794,tsurai,tsurai_SAD
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,28,TIRED,4,2102,erai,erai_EXHAUSTED
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,29,HARD,5,1362,kowai,kowai_HARD
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,30,COARSE,2,1164,deQkai,deQkai_ROUGH
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,31,SLUGGISH,2,1033,koe,koe_SLUGGISH
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,32,HARD,1,884,katai,katai_HARD
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,33,BOUNCING,6,862,pyoNpyoN,pyoNpyoN_BOUNCING
60ceb80ed959c6e83794f961,English,None,Seeing how similar Japanese words sounded to their meaning,1,34,WHISPERING,4,1080,hisohiso,hisohiso_WHISPERING
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,1,WOBBLING,3,17532,yoroyoro,yoroyoro_WOBBLING
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,2,FLUFFY,5,3123,fuwafuwa,fuwafuwa_FLUFFY
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,3,WATERY (EYES),1,2399,syobosyobo,syobosyobo_WATERY (EYES)
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,4,LIVELY,3,6696,syaNsyaN,syaNsyaN_LIVELY
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,5,TIRED,2,9970,kaQtarii,kaQtarii_EXHAUSTED
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,6,PULSATING,6,3121,hirihiri,hirihiri_THROBBING
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,7,CLEAN,3,1284,kiree,kiree_CLEAN
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,8,STUFFED (FROM EATING TOO MUCH),4,4786,kutyii,kutyii_STUFFED (FULL OF FOOD)
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,9,SUNNY,1,1520,akarui,akarui_BRIGHT
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,10,TREMBLING,3,4569,uzyauzya,uzyauzya_SHAKING
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,11,ANNOYED,4,2003,yakiyaki,yakiyaki_ANNOYED/IMPATIENT
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,12,TICKLING,2,4558,motyokoi,motyokoi_TICKLING
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,13,GOOEY,2,6877,nebaneba,nebaneba_STICKY
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,14,RINGING (E.G. A RINGING SOUND IN YOUR EARS),3,18672,tsuuN,tsuuN_RINGING
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,15,PINCHING,1,3272,kyuukutsuka,kyuukutsuka_TIGHT
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,16,FRESH,0,3011,suzusyii,suzusyii_COOL
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,17,SHIVERS (DOWN YOUR SPINE),4,5802,zawazawa,zawazawa_SHIVERING
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,18,WET,0,2967,syiQpori,syiQpori_WET
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,19,SLIPPERY,3,2489,nurunuru,nurunuru_SLIMY
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,20,GOOEY,2,2464,zuruNzuruN,zuruNzuruN_SLIMY
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,21,ROUGH,4,2439,zarazara,zarazara_ROUGH
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,22,BIG,5,2530,igai,igai_BIG
5ea0a444ef1e88098befa2d7,English,NA,Listening to words to see if they sounded like their meaning,1,23,DRY,3,1820,koragu,koragu_DRY
