prolificID,nativelang,otherlangs,taskdesc,experiment,form,trans,foil,answer,rt,identifier
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,yoroyoro,WOBBLING,https://www.honestcookingblog.com/soundfiles/tseke.mp3,correct,3367,yoroyoro_WOBBLING
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,fuwafuwa,FLUFFY,https://www.honestcookingblog.com/soundfiles/nitsu.mp3,correct,1713,fuwafuwa_SOFT
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,katai,TOUGH,https://www.honestcookingblog.com/soundfiles/ruyua.mp3,incorrect,1149,katai_HARD
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,pyoNpyoN,BOUNCING,https://www.honestcookingblog.com/soundfiles/neQ.mp3,correct,1370,pyoNpyoN_HOPPING
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,hisohiso,HISSING,https://www.honestcookingblog.com/soundfiles/zyage.mp3,incorrect,1333,hisohiso_WHISPERING
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,tyikutyiku,CRAMPING (E.G. IN STOMACH),https://www.honestcookingblog.com/soundfiles/gari.mp3,incorrect,1380,tyikutyiku_CRAMPING (STOMACH)
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,syiQpori,SOGGY,https://www.honestcookingblog.com/soundfiles/nawekya.mp3,incorrect,1281,syiQpori_WET
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,kapokapo,SLOSHING,https://www.honestcookingblog.com/soundfiles/zuwe.mp3,incorrect,1489,kapokapo_SLOSHING
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,yakiyaki,IMPATIENT,https://www.honestcookingblog.com/soundfiles/tsura.mp3,incorrect,1616,yakiyaki_ANNOYED/IMPATIENT
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,darui,SLUGGISH,https://www.honestcookingblog.com/soundfiles/wuhia.mp3,incorrect,1168,darui_SLUGGISH
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,igaiga,PRICKLING,https://www.honestcookingblog.com/soundfiles/aru.mp3,incorrect,1600,igaiga_PRICKLING
5f37c48b13c5e902a5ef37d8,English,NA,Guessing which sounds are the correct Japanese translations.,1,zawazawa,SHIVERS (DOWN YOUR SPINE),https://www.honestcookingblog.com/soundfiles/kyutyu.mp3,incorrect,1818,zawazawa_(SPINE) TINGLING
